system:index,bedrock,clay,dem,erosion,hand,latitude,longitude,precip,sand,slope,soc,spatial_fold,suit_score,twi,typhoon,.geo
79,0.0,27.0,218.0,13.556838989257812,74.0,18.720305795386587,109.29556099717206,1910.4122314453125,52.0,1.558953881263733,4.0,1.0,0.6385956442441627,13.24218463897705,44.0,"{""type"":""Point"",""coordinates"":[109.29338892865405,18.720553266969524]}"
80,0.0,30.0,477.0,47.09526062011719,476.0,18.52267643288029,109.75819336849361,2260.586669921875,47.0,8.593852996826172,5.0,1.0,0.5868079964158547,11.342927932739258,45.0,"{""type"":""Point"",""coordinates"":[109.75750989771191,18.524249879779752]}"
81,0.0,24.0,99.0,10.928625106811523,48.0,19.66802842013268,109.73124390997003,2134.685302734375,53.0,0.6091139912605286,3.0,3.0,0.7486405948057201,14.256871223449707,31.0,"{""type"":""Point"",""coordinates"":[109.72951125304628,19.666646255840085]}"
82,0.0,28.0,11.0,7.748987197875977,12.0,20.099219756510053,110.63405077051016,1897.72802734375,40.0,0.7122549414634705,2.0,4.0,0.7213791072091671,12.792638778686523,44.0,"{""type"":""Point"",""coordinates"":[110.63609669694651,20.097250192387556]}"
83,0.0,25.0,329.0,20.504430770874023,332.0,18.60352480845105,108.85538650795348,1506.93798828125,52.0,6.128632545471191,3.0,1.0,0.555492387446948,11.794538497924805,46.0,"{""type"":""Point"",""coordinates"":[108.85470259008547,18.604536269951772]}"
84,0.0,24.0,136.0,13.083643913269043,115.0,19.528789551094157,109.46174932473417,2125.68359375,55.0,0.9676715731620789,4.0,3.0,0.6651775094728463,13.771288871765137,36.0,"{""type"":""Point"",""coordinates"":[109.4603344825238,19.530256879872688]}"
85,0.0,26.0,140.0,7.37329626083374,124.0,19.093106638296184,108.94521803636547,1629.420166015625,47.0,0.7284843325614929,5.0,2.0,0.623564006667045,14.052778244018555,39.0,"{""type"":""Point"",""coordinates"":[108.9444195084146,19.091451056683994]}"
86,0.0,23.0,120.0,13.857917785644531,102.0,19.49734851614997,109.3898841020046,2140.790283203125,53.0,0.9960004687309265,4.0,3.0,0.6757445518158594,13.752280235290527,34.0,"{""type"":""Point"",""coordinates"":[109.38890000401823,19.49735805526821]}"
87,0.0,21.0,76.0,12.160163879394531,72.0,19.052682450510808,108.78801286164452,1364.5877685546875,58.0,3.0857577323913574,2.0,2.0,0.624282770211544,12.647212982177734,41.0,"{""type"":""Point"",""coordinates"":[108.78580939694214,19.05128483155416]}"
88,0.0,23.0,89.0,10.15088176727295,92.0,18.590050079189254,108.8194538965887,1438.9136962890625,57.0,2.0780913829803467,4.0,1.0,0.5969288174321297,13.03530216217041,44.0,"{""type"":""Point"",""coordinates"":[108.81860245923248,18.59129296828444]}"
89,0.0,24.0,10.0,10.137099266052246,13.0,18.85954466442511,110.42294667874205,2215.848876953125,48.0,0.3648812472820282,3.0,2.0,0.7365901290754585,14.802645683288574,45.0,"{""type"":""Point"",""coordinates"":[110.42304591936627,18.857318736615753]}"
90,0.0,27.0,764.0,44.23833465576172,605.0,18.6888647604424,109.35395149063982,2109.100830078125,51.0,12.281630516052246,6.0,1.0,0.5520109672183184,10.722908020019531,45.0,"{""type"":""Point"",""coordinates"":[109.35262652323772,18.6869840305279]}"
91,0.0,30.0,767.0,47.014556884765625,704.0,18.80115417095734,109.82107543838197,2297.9609375,42.0,10.022263526916504,4.0,1.0,0.5714085231538021,10.928372383117676,44.0,"{""type"":""Point"",""coordinates"":[109.8228507292379,18.802187571664444]}"
92,0.0,30.0,7.0,35.16819763183594,9.0,18.675390031180612,110.41396352590084,2133.01318359375,45.0,4.784494876861572,4.0,1.0,0.7159276394047237,12.228521347045898,46.0,"{""type"":""Point"",""coordinates"":[110.41573768937454,18.674455200091447]}"
93,0.0,28.0,422.0,47.830379486083984,255.0,18.899968852210492,109.8031091326996,2326.879150390625,42.0,7.098029613494873,5.0,2.0,0.5978252172451454,11.578794479370117,45.0,"{""type"":""Point"",""coordinates"":[109.80403219225896,18.901887017890346]}"
94,0.0,31.0,290.0,57.84198760986328,271.0,18.468777515833118,109.60098819377271,2311.504638671875,40.0,9.377876281738281,5.0,1.0,0.6060591544945119,11.391033172607422,43.0,"{""type"":""Point"",""coordinates"":[109.59946476334417,18.467284740905026]}"
95,0.0,26.0,5.0,9.876518249511719,7.0,19.084123485454995,110.49032032505102,2458.49267578125,45.0,0.13426092267036438,4.0,2.0,0.7865781976010648,15.805365562438965,39.0,"{""type"":""Point"",""coordinates"":[110.48839596505985,19.085847143953476]}"
96,0.0,22.0,24.0,15.029237747192383,26.0,19.084123485454995,110.44091298442447,2563.419189453125,48.0,0.519780695438385,4.0,2.0,0.7686742398466024,14.440570831298828,39.0,"{""type"":""Point"",""coordinates"":[110.44188203571895,19.08617032337692]}"
97,0.0,30.0,212.0,53.68130874633789,194.0,19.025732991987226,110.22531731623576,2662.99609375,40.0,5.198604106903076,3.0,2.0,0.6295557480821072,12.039210319519043,45.0,"{""type"":""Point"",""coordinates"":[110.22358195179201,19.023501033889065]}"
99,0.0,27.0,670.0,17.51188850402832,626.0,18.71132264254539,108.91826857784184,1526.61865234375,49.0,5.800995826721191,7.0,1.0,0.5356503730262798,11.575923919677734,47.0,"{""type"":""Point"",""coordinates"":[108.91801383485357,18.713351940371027]}"
100,0.0,28.0,645.0,48.723838806152344,499.0,19.18742974312874,109.73573548639064,2474.166259765625,47.0,7.612120151519775,6.0,2.0,0.6146466370290149,11.32457160949707,40.0,"{""type"":""Point"",""coordinates"":[109.73567661916795,19.187835051313424]}"
101,0.0,28.0,477.0,68.21049499511719,286.0,19.088615061875586,109.67734499292288,2321.585693359375,49.0,14.587183952331543,4.0,2.0,0.592564226019924,10.799430847167969,40.0,"{""type"":""Point"",""coordinates"":[109.67703938290143,19.087641789634134]}"
102,0.0,29.0,129.0,20.212820053100586,101.0,19.6320958087679,109.58751346451089,2113.935302734375,45.0,2.098217010498047,4.0,3.0,0.6693975649210103,13.00130844116211,34.0,"{""type"":""Point"",""coordinates"":[109.58683782770862,19.63158936741278]}"
103,0.0,30.0,716.0,62.238075256347656,560.0,19.01225826272543,109.80760070912021,2454.806396484375,45.0,13.125099182128906,5.0,2.0,0.5828237942708113,10.701698303222656,42.0,"{""type"":""Point"",""coordinates"":[109.80823659152249,19.014440931639566]}"
104,0.0,28.0,550.0,39.48752975463867,353.0,18.8820025465281,109.58751346451089,2131.724609375,47.0,7.707315444946289,5.0,2.0,0.5826714053087483,11.394327163696289,44.0,"{""type"":""Point"",""coordinates"":[109.58675284631046,18.880233298122445]}"
105,0.0,29.0,662.0,31.42648696899414,595.0,18.62149111413344,109.4437830190518,2034.1475830078125,43.0,6.427119255065918,6.0,1.0,0.5620942889129213,11.480011940002441,47.0,"{""type"":""Point"",""coordinates"":[109.44549458094258,18.62155830302848]}"
106,0.0,24.0,136.0,14.368266105651855,56.0,19.358109647111448,109.31352730285442,2092.463134765625,46.0,1.1002081632614136,3.0,3.0,0.7195511705498432,13.642898559570312,34.0,"{""type"":""Point"",""coordinates"":[109.31298443166959,19.358578815000886]}"
